Get Out,4.5
Avengers Infinity War,4
Mad Max Fury Road,4.5
Lady Bird,3.5
The Dark Knight,4.5
Guardians of the Galaxy,4
Star Wars episode vii,3.5
Interstellar,3
The Shape of Water,3.5
The Grand Budapest Hotel,4.5
Spider Man Into the Spider Verse,5
Star Wars episode viii,2
Deadpool,3
Gone Girl,3.5
The Wolf of Wall Street,4
The Shining,3.5
Spider Man Homecoming,3.5
Guardians of the Galaxy Vol. 2,3
Inglourious Basterds,4.5
The Avengers,2.5
Django Unchained,4
Logan,4.5
Captain America Civil War,2.5
Inside Out,4
Avengers Endgame,4.5
Star Wars,4.5
Birdman or the unexpected virtue of ignorance,2.5
Ex Machina,4.5
Wonder Woman,2.5
Rogue One,4
The Martian,3.5
Coco,3
star wars episode v,4.5
The Social Network,4.5
The Revenant,4
It,4.5
Incredibles 2,3.5
Avengers Age of Ultron,2
Nightcrawler,2.5
Bohemian Rhapsody,2.5
Forrest Gump,4.5
The Dark Knight Rises,3.5
No Country for Old Men,5
Iron Man,3.5
Black Swan,3
Deadpool 2,2.5
Gravity,2.5
The Incredibles,4
Zootopia,3.5
I Tonya,3
Up,4
Psycho,4.5
GoodFellas,4.5
star wars episode vi,4
Toy Story,4.5
John Wick,4
Extremely Wicked Shockingly Evil and Vile,2.5
I Feel Pretty,2
The Room,5
Star Wars episode ii,1
Star Wars episode iii,2.5
Transformers,1.5
Star Wars episode i,2
Rise of the Planet of the Apes,3
Spider Man 3,1.5
Batman v Superman Dawn of Justice,1.5
Jurassic World,2
School of Rock,3
Won't You Be My Neighbor,4
2012,1
Knocked Up,3
Don Jon,2
The American Meme,2.5
Eighth Grade,4.5
Ratatouille,3.5
Big Hero 6,3
Bird Box,3
Dawn of the Planet of the Apes,2.5
Captain Phillips,3
Fyre,3.5
Napoleon Dynamite,3
Megamind,2.5
Super Size Me,3.5
National Lampoon's Vacation,3
How the Grinch Stole Christmas!,3
My Big Fat Greek Wedding,3
The Thomas Crown Affair,3.5
Solo a star wars story,3.5
Spider-Man 2,4
Spider-Man,3
Finding Dory,3.5
Juno,4
Pirates of the Caribbean The Curse of the Black Pearl,4
Crazy Rich Asians,3.5
Zombieland,4
Insidious,4.5
Us,4
Booksmart,4
The Secret Life of Pets,2.5
Gotti,0.5
Captain Marvel,3
Midsommar,4
It Chapter Two,2.5
El Camino A Breaking Bad Movie,4.5
Joker,4.5
Plus One,3
Hereditary,4
Drag Me to Hell,3
Star Wars episode ix,3
The Irishman,4.5
Long Shot,3
Good Boys,2.5
Remember the Titans,4
Marriage Story,4.5
Knives Out,4.5
Parasite,5
The Wizard of Oz,5
The Babadook,4
Zodiac,4
1917,5
The Invisible Man,3.5
Pulp Fiction,4
Uncut Gems,3.5
Bombshell,3.5
Freaky Friday,3
Casino Royale,4
Quantum of Solace,2.5
Skyfall,4.5
Hitch,3
Cats,1
National Treasure,3
National Treasure Book of Secrets,2
Moneyball,4
Forgetting Sarah Marshall,4
Frozen,2.5
Superbad,4.5
The Princess Bride,4
When Harry Met Sally,4.5
Schindler's List,4
True Grit,4
Titanic,4
Finding Nemo,4
Monsters Inc,3.5
Moana,3.5
Office Space,4
Thor,3
Cast Away,4
The Happening,1
Spectre,3
Showgirls,1.5
Extraction,4
Bumblebee,2.5
Batman Robin,1.5
Ocean's Eleven,3.5
Ocean's Twelve,2
Batman,3